CI,CI_rank,CI_topk,alpha
0.26495726495726496,0.5483127560579402,0.26495726495726496,0.0
0.2791250395122987,0.5483127560579402,0.26495726495726496,0.05
0.2932928140673325,0.5483127560579402,0.26495726495726496,0.1
0.30746058862236625,0.5483127560579402,0.26495726495726496,0.15000000000000002
0.3216283631774,0.5483127560579402,0.26495726495726496,0.2
0.3357961377324338,0.5483127560579402,0.26495726495726496,0.25
0.3499639122874675,0.5483127560579402,0.26495726495726496,0.30000000000000004
0.3641316868425013,0.5483127560579402,0.26495726495726496,0.35000000000000003
0.378299461397535,0.5483127560579402,0.26495726495726496,0.4
0.3924672359525688,0.5483127560579402,0.26495726495726496,0.45
0.40663501050760253,0.5483127560579402,0.26495726495726496,0.5
0.42080278506263635,0.5483127560579402,0.26495726495726496,0.55
0.43497055961767006,0.5483127560579402,0.26495726495726496,0.6000000000000001
0.4491383341727039,0.5483127560579402,0.26495726495726496,0.65
0.46330610872773764,0.5483127560579402,0.26495726495726496,0.7000000000000001
0.47747388328277135,0.5483127560579402,0.26495726495726496,0.75
0.4916416578378051,0.5483127560579402,0.26495726495726496,0.8
0.5058094323928389,0.5483127560579402,0.26495726495726496,0.8500000000000001
0.5199772069478726,0.5483127560579402,0.26495726495726496,0.9
0.5341449815029063,0.5483127560579402,0.26495726495726496,0.9500000000000001
0.5483127560579402,0.5483127560579402,0.26495726495726496,1.0
